,dt,sensor_std,integration_method
0,1.4501604080200194,0.12594978272914886,RK1
1,0.5096393823623658,0.4381472593173385,RK2
2,0.2352218370884657,1.058316621268168,RK1
3,0.2352218370884657,1.058316621268168,RK1
4,0.2352218370884657,1.058316621268168,RK1
5,0.2352218370884657,1.058316621268168,RK1
6,0.2352218370884657,1.058316621268168,RK1
7,0.2352218370884657,1.058316621268168,RK1
8,0.2352218370884657,1.058316621268168,RK1
9,0.2352218370884657,1.058316621268168,RK1
10,0.2352218370884657,1.058316621268168,RK1
11,0.2352218370884657,1.058316621268168,RK1
12,0.2352218370884657,1.058316621268168,RK1
13,0.13726514410227536,1.6845890497229994,RK1
14,0.13726514410227536,1.6845890497229994,RK1
15,0.13726514410227536,1.6845890497229994,RK1
16,0.13726514410227536,1.6845890497229994,RK1
17,0.13726514410227536,1.6845890497229994,RK1
18,0.13726514410227536,1.6845890497229994,RK1
19,0.13726514410227536,1.6845890497229994,RK1
20,0.13726514410227536,1.6845890497229994,RK1
21,0.13726514410227536,1.6845890497229994,RK1
22,0.13726514410227536,1.6845890497229994,RK1
23,0.11290505302641486,1.5052563928504823,RK1
24,0.11290505302641486,1.5052563928504823,RK1
25,0.11818877475836852,1.5062694879908125,RK1
26,0.11818877475836852,1.5062694879908125,RK1
27,0.11818877475836852,1.5062694879908125,RK1
28,0.11818877475836852,1.5062694879908125,RK1
29,0.10322522154282122,1.5331374522422485,RK1
30,0.10322522154282122,1.5331374522422485,RK1
31,0.1,1.5313951360654021,RK1
32,0.1,1.5313951360654021,RK1
33,0.1,1.5386458322008782,RK1
34,0.1,1.5407246624555564,RK1
35,0.1,1.5407246624555564,RK1
36,0.1,1.5407246624555564,RK1
37,0.1,1.5505351504721654,RK1
38,0.1,1.5505351504721654,RK1
39,0.1,1.5505351504721654,RK1
40,0.1,1.5505351504721654,RK1
41,0.1,1.5505351504721654,RK1
42,0.1,1.561482333419452,RK1
43,0.1,1.561482333419452,RK1
44,0.1,1.561482333419452,RK1
45,0.1,1.561482333419452,RK1
46,0.1,1.561482333419452,RK1
47,0.1,1.561482333419452,RK1
48,0.1,1.561482333419452,RK1
49,0.1,1.561482333419452,RK1
50,0.1,1.5708577022602468,RK1
51,0.1,1.5708577022602468,RK1
52,0.1,1.5708577022602468,RK1
53,0.1,1.5665691513359672,RK1
54,0.1,1.5645268337586637,RK1
55,0.1,1.561482333419452,RK1
56,0.1,1.5552169273996248,RK1
57,0.1,1.5552169273996248,RK1
58,0.1,1.5630689155538282,RK1
59,0.1,1.5630689155538282,RK1
60,0.1,1.5535863699555454,RK1
61,0.1,1.5590435897499748,RK1
62,0.1,1.5589093192969916,RK1
63,0.1,1.5589093192969916,RK1
64,0.1,1.5572298031446767,RK1
65,0.1,1.5595975463135108,RK1
66,0.1,1.5579501870067813,RK1
67,0.1,1.5556481632501225,RK1
68,0.1,1.5552169273996248,RK1
69,0.1,1.5505351504721654,RK1
70,0.1,1.54860517667702,RK1
71,0.1,1.54860517667702,RK1
72,0.1,1.54860517667702,RK1
73,0.1,1.5505351504721654,RK1
74,0.1,1.54860517667702,RK1
75,0.1,1.5460906993856853,RK1
76,0.1,1.5460906993856853,RK1
77,0.1,1.5505351504721654,RK1
78,0.1,1.5505351504721654,RK1
79,0.1,1.54860517667702,RK1
80,0.1,1.5484616359864118,RK1
81,0.1,1.5460906993856853,RK1
82,0.1,1.5456453178510736,RK1
83,0.1,1.5447137448122605,RK1
84,0.1,1.5456453178510736,RK1
