,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'dt': 0.58, 'sensor_std': 9.32, 'integration_method': 'RK2'}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'dt': 0.89, 'sensor_std': 6.5, 'integration_method': 'RK1'}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'dt': 1.28, 'sensor_std': 1.37, 'integration_method': 'RK4'}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'dt': 1.32, 'sensor_std': 6.59, 'integration_method': 'RK2'}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'dt': 0.53, 'sensor_std': 7.64, 'integration_method': 'RK4'}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'dt': 1.01, 'sensor_std': 6.99, 'integration_method': 'RK4'}}"
6,0,Sobol,6,COMPLETED,"{'6_0': {'dt': 0.92, 'sensor_std': 2.69, 'integration_method': 'RK4'}}"
7,0,Sobol,7,COMPLETED,"{'7_0': {'dt': 0.69, 'sensor_std': 4.74, 'integration_method': 'RK2'}}"
8,0,Sobol,8,COMPLETED,"{'8_0': {'dt': 0.83, 'sensor_std': 8.13, 'integration_method': 'RK2'}}"
9,0,Sobol,9,COMPLETED,"{'9_0': {'dt': 0.91, 'sensor_std': 0.54, 'integration_method': 'RK1'}}"
10,0,Sobol,10,COMPLETED,"{'10_0': {'dt': 0.7, 'sensor_std': 3.32, 'integration_method': 'RK4'}}"
11,0,Sobol,11,COMPLETED,"{'11_0': {'dt': 1.22, 'sensor_std': 4.23, 'integration_method': 'RK4'}}"
12,0,Sobol,12,COMPLETED,"{'12_0': {'dt': 0.79, 'sensor_std': 0.92, 'integration_method': 'RK2'}}"
13,0,Sobol,13,COMPLETED,"{'13_0': {'dt': 0.41, 'sensor_std': 6.68, 'integration_method': 'RK4'}}"
14,0,Sobol,14,COMPLETED,"{'14_0': {'dt': 1.25, 'sensor_std': 0.57, 'integration_method': 'RK4'}}"
15,0,Sobol,15,COMPLETED,"{'15_0': {'dt': 1.07, 'sensor_std': 7.14, 'integration_method': 'RK4'}}"
16,0,Sobol,16,COMPLETED,"{'16_0': {'dt': 0.97, 'sensor_std': 3.64, 'integration_method': 'RK4'}}"
17,0,Sobol,17,COMPLETED,"{'17_0': {'dt': 0.67, 'sensor_std': 8.21, 'integration_method': 'RK4'}}"
18,0,Sobol,18,COMPLETED,"{'18_0': {'dt': 1.07, 'sensor_std': 9.66, 'integration_method': 'RK4'}}"
19,0,Sobol,19,COMPLETED,"{'19_0': {'dt': 1.25, 'sensor_std': 8.55, 'integration_method': 'RK1'}}"
20,1,BO_MIXED,20,COMPLETED,"{'20_0': {'dt': 0.64, 'sensor_std': 3.77, 'integration_method': 'RK4'}}"
21,1,BO_MIXED,21,COMPLETED,"{'21_0': {'dt': 0.64, 'sensor_std': 3.26, 'integration_method': 'RK4'}}"
22,1,BO_MIXED,22,COMPLETED,"{'22_0': {'dt': 0.73, 'sensor_std': 3.78, 'integration_method': 'RK4'}}"
23,1,BO_MIXED,23,COMPLETED,"{'23_0': {'dt': 0.72, 'sensor_std': 3.04, 'integration_method': 'RK4'}}"
24,1,BO_MIXED,24,COMPLETED,"{'24_0': {'dt': 0.67, 'sensor_std': 3.5, 'integration_method': 'RK4'}}"
25,1,BO_MIXED,25,COMPLETED,"{'25_0': {'dt': 0.7, 'sensor_std': 3.37, 'integration_method': 'RK4'}}"
26,1,BO_MIXED,26,COMPLETED,"{'26_0': {'dt': 0.63, 'sensor_std': 3.7, 'integration_method': 'RK4'}}"
27,1,BO_MIXED,27,COMPLETED,"{'27_0': {'dt': 0.6, 'sensor_std': 3.71, 'integration_method': 'RK4'}}"
28,1,BO_MIXED,28,COMPLETED,"{'28_0': {'dt': 0.63, 'sensor_std': 3.65, 'integration_method': 'RK4'}}"
29,1,BO_MIXED,29,COMPLETED,"{'29_0': {'dt': 0.77, 'sensor_std': 3.31, 'integration_method': 'RK4'}}"
30,1,BO_MIXED,30,COMPLETED,"{'30_0': {'dt': 0.68, 'sensor_std': 3.38, 'integration_method': 'RK4'}}"
31,1,BO_MIXED,31,COMPLETED,"{'31_0': {'dt': 0.72, 'sensor_std': 3.49, 'integration_method': 'RK4'}}"
32,1,BO_MIXED,32,COMPLETED,"{'32_0': {'dt': 0.62, 'sensor_std': 3.73, 'integration_method': 'RK4'}}"
33,1,BO_MIXED,33,COMPLETED,"{'33_0': {'dt': 0.72, 'sensor_std': 3.35, 'integration_method': 'RK4'}}"
34,1,BO_MIXED,34,COMPLETED,"{'34_0': {'dt': 0.64, 'sensor_std': 3.72, 'integration_method': 'RK4'}}"
35,1,BO_MIXED,35,COMPLETED,"{'35_0': {'dt': 0.63, 'sensor_std': 3.79, 'integration_method': 'RK4'}}"
36,1,BO_MIXED,36,COMPLETED,"{'36_0': {'dt': 0.62, 'sensor_std': 3.69, 'integration_method': 'RK4'}}"
37,1,BO_MIXED,37,COMPLETED,"{'37_0': {'dt': 0.71, 'sensor_std': 3.34, 'integration_method': 'RK4'}}"
