,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'dt': 1.31, 'sensor_std': 7.74, 'integration_method': 'RK2'}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'dt': 1.48, 'sensor_std': 0.52, 'integration_method': 'RK2'}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'dt': 0.27, 'sensor_std': 9.6, 'integration_method': 'RK2'}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'dt': 0.61, 'sensor_std': 2.52, 'integration_method': 'RK1'}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'dt': 1.49, 'sensor_std': 4.14, 'integration_method': 'RK4'}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'dt': 1.28, 'sensor_std': 4.94, 'integration_method': 'RK2'}}"
6,0,Sobol,6,COMPLETED,"{'6_0': {'dt': 1.41, 'sensor_std': 4.72, 'integration_method': 'RK2'}}"
7,0,Sobol,7,COMPLETED,"{'7_0': {'dt': 0.93, 'sensor_std': 5.33, 'integration_method': 'RK4'}}"
8,0,Sobol,8,COMPLETED,"{'8_0': {'dt': 0.44, 'sensor_std': 4.71, 'integration_method': 'RK2'}}"
9,0,Sobol,9,COMPLETED,"{'9_0': {'dt': 0.74, 'sensor_std': 6.44, 'integration_method': 'RK4'}}"
10,0,Sobol,10,COMPLETED,"{'10_0': {'dt': 0.8, 'sensor_std': 4.02, 'integration_method': 'RK2'}}"
11,0,Sobol,11,COMPLETED,"{'11_0': {'dt': 0.41, 'sensor_std': 8.63, 'integration_method': 'RK2'}}"
12,0,Sobol,12,COMPLETED,"{'12_0': {'dt': 0.97, 'sensor_std': 4.23, 'integration_method': 'RK2'}}"
13,0,Sobol,13,COMPLETED,"{'13_0': {'dt': 0.32, 'sensor_std': 9.8, 'integration_method': 'RK2'}}"
14,0,Sobol,14,COMPLETED,"{'14_0': {'dt': 1.48, 'sensor_std': 0.38, 'integration_method': 'RK4'}}"
15,0,Sobol,15,COMPLETED,"{'15_0': {'dt': 0.24, 'sensor_std': 5.63, 'integration_method': 'RK1'}}"
16,0,Sobol,16,COMPLETED,"{'16_0': {'dt': 0.31, 'sensor_std': 0.27, 'integration_method': 'RK2'}}"
17,0,Sobol,17,COMPLETED,"{'17_0': {'dt': 0.86, 'sensor_std': 1.87, 'integration_method': 'RK1'}}"
18,0,Sobol,18,COMPLETED,"{'18_0': {'dt': 0.98, 'sensor_std': 5.23, 'integration_method': 'RK1'}}"
19,0,Sobol,19,COMPLETED,"{'19_0': {'dt': 0.84, 'sensor_std': 9.85, 'integration_method': 'RK1'}}"
20,1,BO_MIXED,20,COMPLETED,"{'20_0': {'dt': 0.16, 'sensor_std': 2.65, 'integration_method': 'RK1'}}"
21,1,BO_MIXED,21,COMPLETED,"{'21_0': {'dt': 0.1, 'sensor_std': 7.12, 'integration_method': 'RK1'}}"
22,1,BO_MIXED,22,COMPLETED,"{'22_0': {'dt': 0.54, 'sensor_std': 1.05, 'integration_method': 'RK2'}}"
23,1,BO_MIXED,23,COMPLETED,"{'23_0': {'dt': 0.26, 'sensor_std': 4.33, 'integration_method': 'RK1'}}"
24,1,BO_MIXED,24,COMPLETED,"{'24_0': {'dt': 0.51, 'sensor_std': 2.58, 'integration_method': 'RK2'}}"
25,1,BO_MIXED,25,COMPLETED,"{'25_0': {'dt': 0.51, 'sensor_std': 2.42, 'integration_method': 'RK2'}}"
26,1,BO_MIXED,26,COMPLETED,"{'26_0': {'dt': 0.25, 'sensor_std': 5.19, 'integration_method': 'RK1'}}"
27,1,BO_MIXED,27,COMPLETED,"{'27_0': {'dt': 0.51, 'sensor_std': 2.58, 'integration_method': 'RK2'}}"
28,1,BO_MIXED,28,COMPLETED,"{'28_0': {'dt': 0.49, 'sensor_std': 2.27, 'integration_method': 'RK2'}}"
29,1,BO_MIXED,29,COMPLETED,"{'29_0': {'dt': 0.48, 'sensor_std': 2.09, 'integration_method': 'RK2'}}"
30,1,BO_MIXED,30,COMPLETED,"{'30_0': {'dt': 0.48, 'sensor_std': 2.06, 'integration_method': 'RK2'}}"
31,1,BO_MIXED,31,COMPLETED,"{'31_0': {'dt': 0.48, 'sensor_std': 1.95, 'integration_method': 'RK2'}}"
32,1,BO_MIXED,32,COMPLETED,"{'32_0': {'dt': 0.48, 'sensor_std': 2.13, 'integration_method': 'RK2'}}"
33,1,BO_MIXED,33,COMPLETED,"{'33_0': {'dt': 0.49, 'sensor_std': 2.25, 'integration_method': 'RK2'}}"
34,1,BO_MIXED,34,COMPLETED,"{'34_0': {'dt': 0.49, 'sensor_std': 2.25, 'integration_method': 'RK2'}}"
35,1,BO_MIXED,35,COMPLETED,"{'35_0': {'dt': 0.49, 'sensor_std': 2.23, 'integration_method': 'RK2'}}"
36,1,BO_MIXED,36,COMPLETED,"{'36_0': {'dt': 0.48, 'sensor_std': 2.23, 'integration_method': 'RK2'}}"
37,1,BO_MIXED,37,COMPLETED,"{'37_0': {'dt': 0.49, 'sensor_std': 2.36, 'integration_method': 'RK2'}}"
38,1,BO_MIXED,38,COMPLETED,"{'38_0': {'dt': 0.47, 'sensor_std': 1.98, 'integration_method': 'RK2'}}"
39,1,BO_MIXED,39,COMPLETED,"{'39_0': {'dt': 0.47, 'sensor_std': 2.03, 'integration_method': 'RK2'}}"
40,1,BO_MIXED,40,COMPLETED,"{'40_0': {'dt': 0.47, 'sensor_std': 2.37, 'integration_method': 'RK2'}}"
41,1,BO_MIXED,41,COMPLETED,"{'41_0': {'dt': 0.48, 'sensor_std': 2.24, 'integration_method': 'RK2'}}"
42,1,BO_MIXED,42,COMPLETED,"{'42_0': {'dt': 0.48, 'sensor_std': 2.18, 'integration_method': 'RK2'}}"
43,1,BO_MIXED,43,COMPLETED,"{'43_0': {'dt': 0.48, 'sensor_std': 2.02, 'integration_method': 'RK2'}}"
44,1,BO_MIXED,44,COMPLETED,"{'44_0': {'dt': 0.47, 'sensor_std': 1.92, 'integration_method': 'RK2'}}"
45,1,BO_MIXED,45,COMPLETED,"{'45_0': {'dt': 0.48, 'sensor_std': 2.1, 'integration_method': 'RK2'}}"
46,1,BO_MIXED,46,COMPLETED,"{'46_0': {'dt': 0.48, 'sensor_std': 2.11, 'integration_method': 'RK2'}}"
47,1,BO_MIXED,47,COMPLETED,"{'47_0': {'dt': 0.49, 'sensor_std': 2.31, 'integration_method': 'RK2'}}"
48,1,BO_MIXED,48,COMPLETED,"{'48_0': {'dt': 0.49, 'sensor_std': 2.46, 'integration_method': 'RK2'}}"
49,1,BO_MIXED,49,COMPLETED,"{'49_0': {'dt': 0.49, 'sensor_std': 2.19, 'integration_method': 'RK2'}}"
50,1,BO_MIXED,50,COMPLETED,"{'50_0': {'dt': 0.47, 'sensor_std': 2.26, 'integration_method': 'RK2'}}"
51,1,BO_MIXED,51,COMPLETED,"{'51_0': {'dt': 0.47, 'sensor_std': 2.22, 'integration_method': 'RK2'}}"
52,1,BO_MIXED,52,COMPLETED,"{'52_0': {'dt': 0.49, 'sensor_std': 2.14, 'integration_method': 'RK2'}}"
53,1,BO_MIXED,53,COMPLETED,"{'53_0': {'dt': 0.49, 'sensor_std': 2.1, 'integration_method': 'RK2'}}"
54,1,BO_MIXED,54,COMPLETED,"{'54_0': {'dt': 0.49, 'sensor_std': 2.38, 'integration_method': 'RK2'}}"
55,1,BO_MIXED,55,COMPLETED,"{'55_0': {'dt': 0.49, 'sensor_std': 2.11, 'integration_method': 'RK2'}}"
56,1,BO_MIXED,56,COMPLETED,"{'56_0': {'dt': 0.48, 'sensor_std': 2.11, 'integration_method': 'RK2'}}"
57,1,BO_MIXED,57,COMPLETED,"{'57_0': {'dt': 0.47, 'sensor_std': 2.22, 'integration_method': 'RK2'}}"
58,1,BO_MIXED,58,COMPLETED,"{'58_0': {'dt': 0.49, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
59,1,BO_MIXED,59,COMPLETED,"{'59_0': {'dt': 0.5, 'sensor_std': 1.84, 'integration_method': 'RK2'}}"
60,1,BO_MIXED,60,COMPLETED,"{'60_0': {'dt': 0.49, 'sensor_std': 2.35, 'integration_method': 'RK2'}}"
61,1,BO_MIXED,61,COMPLETED,"{'61_0': {'dt': 0.49, 'sensor_std': 2.29, 'integration_method': 'RK2'}}"
62,1,BO_MIXED,62,COMPLETED,"{'62_0': {'dt': 0.49, 'sensor_std': 2.17, 'integration_method': 'RK2'}}"
63,1,BO_MIXED,63,COMPLETED,"{'63_0': {'dt': 0.48, 'sensor_std': 2.18, 'integration_method': 'RK2'}}"
64,1,BO_MIXED,64,COMPLETED,"{'64_0': {'dt': 0.48, 'sensor_std': 2.06, 'integration_method': 'RK2'}}"
65,1,BO_MIXED,65,COMPLETED,"{'65_0': {'dt': 0.5, 'sensor_std': 2.35, 'integration_method': 'RK2'}}"
66,1,BO_MIXED,66,COMPLETED,"{'66_0': {'dt': 0.47, 'sensor_std': 1.95, 'integration_method': 'RK2'}}"
67,1,BO_MIXED,67,COMPLETED,"{'67_0': {'dt': 0.48, 'sensor_std': 2.0, 'integration_method': 'RK2'}}"
68,1,BO_MIXED,68,COMPLETED,"{'68_0': {'dt': 0.47, 'sensor_std': 1.84, 'integration_method': 'RK2'}}"
69,1,BO_MIXED,69,COMPLETED,"{'69_0': {'dt': 0.46, 'sensor_std': 1.94, 'integration_method': 'RK2'}}"
70,1,BO_MIXED,70,COMPLETED,"{'70_0': {'dt': 0.47, 'sensor_std': 1.51, 'integration_method': 'RK2'}}"
71,1,BO_MIXED,71,COMPLETED,"{'71_0': {'dt': 0.47, 'sensor_std': 1.63, 'integration_method': 'RK2'}}"
72,1,BO_MIXED,72,COMPLETED,"{'72_0': {'dt': 0.46, 'sensor_std': 1.86, 'integration_method': 'RK2'}}"
