,Generation Step,Generation Model,Trial Index,Trial Status,Arm Parameterizations
0,0,Sobol,0,COMPLETED,"{'0_0': {'dt': 1.46, 'sensor_std': 6.2, 'integration_method': 'RK4'}}"
1,0,Sobol,1,COMPLETED,"{'1_0': {'dt': 0.49, 'sensor_std': 8.29, 'integration_method': 'RK2'}}"
2,0,Sobol,2,COMPLETED,"{'2_0': {'dt': 1.03, 'sensor_std': 0.72, 'integration_method': 'RK1'}}"
3,0,Sobol,3,COMPLETED,"{'3_0': {'dt': 0.78, 'sensor_std': 9.44, 'integration_method': 'RK1'}}"
4,0,Sobol,4,COMPLETED,"{'4_0': {'dt': 0.96, 'sensor_std': 9.12, 'integration_method': 'RK1'}}"
5,0,Sobol,5,COMPLETED,"{'5_0': {'dt': 1.44, 'sensor_std': 6.33, 'integration_method': 'RK2'}}"
6,0,Sobol,6,COMPLETED,"{'6_0': {'dt': 0.17, 'sensor_std': 6.63, 'integration_method': 'RK4'}}"
7,0,Sobol,7,COMPLETED,"{'7_0': {'dt': 1.11, 'sensor_std': 7.62, 'integration_method': 'RK4'}}"
8,0,Sobol,8,COMPLETED,"{'8_0': {'dt': 1.23, 'sensor_std': 6.64, 'integration_method': 'RK4'}}"
9,0,Sobol,9,COMPLETED,"{'9_0': {'dt': 0.89, 'sensor_std': 7.36, 'integration_method': 'RK1'}}"
10,0,Sobol,10,COMPLETED,"{'10_0': {'dt': 0.22, 'sensor_std': 6.94, 'integration_method': 'RK4'}}"
11,0,Sobol,11,COMPLETED,"{'11_0': {'dt': 1.36, 'sensor_std': 3.15, 'integration_method': 'RK2'}}"
12,0,Sobol,12,COMPLETED,"{'12_0': {'dt': 0.69, 'sensor_std': 4.29, 'integration_method': 'RK4'}}"
13,0,Sobol,13,COMPLETED,"{'13_0': {'dt': 1.49, 'sensor_std': 4.54, 'integration_method': 'RK4'}}"
14,0,Sobol,14,COMPLETED,"{'14_0': {'dt': 0.79, 'sensor_std': 2.11, 'integration_method': 'RK4'}}"
15,0,Sobol,15,COMPLETED,"{'15_0': {'dt': 1.49, 'sensor_std': 2.4, 'integration_method': 'RK4'}}"
16,0,Sobol,16,COMPLETED,"{'16_0': {'dt': 1.42, 'sensor_std': 0.57, 'integration_method': 'RK1'}}"
17,0,Sobol,17,COMPLETED,"{'17_0': {'dt': 1.1, 'sensor_std': 1.35, 'integration_method': 'RK4'}}"
18,0,Sobol,18,COMPLETED,"{'18_0': {'dt': 1.42, 'sensor_std': 8.71, 'integration_method': 'RK1'}}"
19,0,Sobol,19,COMPLETED,"{'19_0': {'dt': 0.22, 'sensor_std': 9.03, 'integration_method': 'RK2'}}"
20,1,BO_MIXED,20,COMPLETED,"{'20_0': {'dt': 0.42, 'sensor_std': 10.0, 'integration_method': 'RK2'}}"
21,1,BO_MIXED,21,COMPLETED,"{'21_0': {'dt': 0.7, 'sensor_std': 1.58, 'integration_method': 'RK4'}}"
22,1,BO_MIXED,22,COMPLETED,"{'22_0': {'dt': 0.53, 'sensor_std': 4.03, 'integration_method': 'RK1'}}"
23,1,BO_MIXED,23,COMPLETED,"{'23_0': {'dt': 0.38, 'sensor_std': 1.33, 'integration_method': 'RK1'}}"
24,1,BO_MIXED,24,COMPLETED,"{'24_0': {'dt': 0.5, 'sensor_std': 3.72, 'integration_method': 'RK1'}}"
25,1,BO_MIXED,25,COMPLETED,"{'25_0': {'dt': 0.39, 'sensor_std': 3.05, 'integration_method': 'RK1'}}"
26,1,BO_MIXED,26,COMPLETED,"{'26_0': {'dt': 0.6, 'sensor_std': 2.83, 'integration_method': 'RK1'}}"
27,1,BO_MIXED,27,COMPLETED,"{'27_0': {'dt': 0.44, 'sensor_std': 3.4, 'integration_method': 'RK1'}}"
28,1,BO_MIXED,28,COMPLETED,"{'28_0': {'dt': 0.5, 'sensor_std': 3.19, 'integration_method': 'RK1'}}"
29,1,BO_MIXED,29,COMPLETED,"{'29_0': {'dt': 0.66, 'sensor_std': 2.65, 'integration_method': 'RK4'}}"
30,1,BO_MIXED,30,COMPLETED,"{'30_0': {'dt': 0.14, 'sensor_std': 2.49, 'integration_method': 'RK1'}}"
31,1,BO_MIXED,31,COMPLETED,"{'31_0': {'dt': 0.26, 'sensor_std': 2.5, 'integration_method': 'RK1'}}"
32,1,BO_MIXED,32,COMPLETED,"{'32_0': {'dt': 0.29, 'sensor_std': 2.58, 'integration_method': 'RK1'}}"
33,1,BO_MIXED,33,COMPLETED,"{'33_0': {'dt': 0.22, 'sensor_std': 2.21, 'integration_method': 'RK1'}}"
